call_id,client,voicebot,date,state,local_call_time,answered,right_party_contact,outcome,payment_collected,failed,call_duration_sec,qa_flag,compliance_flag,transcript
CLL0001,Summit Collections,Hannah,2026-06-21,NV,19:06,True,True,payment_collected,True,False,170,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0002,Summit Collections,Maya,2026-06-24,CA,14:02,False,False,no_answer,False,True,0,,False,No answer.
CLL0003,Atlas Bank,Sofia,2026-06-25,AZ,18:44,True,True,payment_collected,True,False,58,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0004,BrightPath Finance,Emma,2026-06-25,NY,14:21,True,True,promise_to_pay,False,False,48,,False,Agent: I'm reaching out about your balance. Customer: I'm a little short this week. Agent: When would you be able to pay? Customer: Next Tuesday for sure. Agent: I'll schedule that follow-up.
CLL0005,Cedar Credit,Nora,2026-06-23,WA,09:22,True,True,payment_collected,True,False,97,,False,"Agent: Hi, this is Hannah calling about your account. Customer: Yeah, go ahead. Agent: Can you make a payment today? Customer: Yes, I can pay today. Agent: Great, I can help process that payment."
CLL0006,Northstar Lending,Lily,2026-06-24,FL,09:59,True,False,already_paid,False,False,418,,False,Agent: Quick call about your account. Customer: I submitted payment Friday night. Agent: Thank you. Customer: I already paid — I shouldn't owe anything. Agent: Let me check records.
CLL0007,Atlas Bank,Ava,2026-06-24,CA,11:45,True,False,payment_plan,False,False,361,,False,"Agent: This is Sofia. Customer: Hi, I wanted to discuss splitting this up. Agent: Can you pay today? Customer: Only if we can spread it out monthly. Agent: I'll review eligibility with you."
CLL0008,Atlas Bank,Olivia,2026-06-26,NY,09:24,True,True,already_paid,False,False,85,,False,"Agent: This is a balance reminder. Customer: Wait, I paid last week — check your system. Agent: Thank you. Customer: I already paid and I have the confirmation email. Agent: I'll verify payment status."
CLL0009,BrightPath Finance,Zoe,2026-06-21,NV,18:17,True,True,already_paid,False,False,234,,False,"Agent: Hi, calling about an outstanding balance. Customer: My husband paid it Monday online. Agent: Thanks for confirming. Customer: We already paid. Agent: Okay, I'll verify payment status."
CLL0010,Summit Collections,Grace,2026-06-21,NY,15:24,True,True,already_paid,False,False,132,,False,"Agent: This is a balance reminder. Customer: Wait, I paid last week — check your system. Agent: Thank you. Customer: I already paid and I have the confirmation email. Agent: I'll verify payment status."
CLL0011,Summit Collections,Zoe,2026-06-26,NY,08:51,True,True,payment_collected,True,False,73,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0012,BrightPath Finance,Nora,2026-06-21,FL,18:31,True,False,payment_collected,True,False,335,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0013,Summit Collections,Olivia,2026-06-25,AZ,17:27,True,True,payment_collected,True,False,332,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0014,BrightPath Finance,Lily,2026-06-20,WA,20:03,True,False,payment_collected,True,False,305,,False,"Agent: Calling about your past-due balance. Customer: I know, sorry about that. Agent: Can we take care of it today? Customer: Yeah I can cover it right now. Agent: Thank you, I'll start the payment."
CLL0015,Atlas Bank,Sofia,2026-06-23,FL,14:38,True,False,already_paid,False,False,261,,False,Agent: Are you able to pay today? Customer: I already paid yesterday through the portal. Agent: Thank you for letting me know. Customer: You should see it by now. Agent: I'll note that on your account.
CLL0016,Riverstone Health,Nora,2026-06-25,NY,16:48,True,False,transferred_to_human,False,False,50,,False,Agent: Can you make a payment today? Customer: I want to speak with a person. Agent: I can transfer you to a representative.
CLL0017,Pioneer Servicing,Lily,2026-06-25,AZ,19:16,True,True,payment_collected,True,False,277,,False,"Agent: Hi, this is Hannah calling about your account. Customer: Yeah, go ahead. Agent: Can you make a payment today? Customer: Yes, I can pay today. Agent: Great, I can help process that payment."
CLL0018,Pioneer Servicing,Sofia,2026-06-26,AZ,18:32,True,True,payment_objection,False,False,365,payment_objection,False,"Agent: Can you pay the balance today? Customer: I cannot pay the full amount. Agent: Alright, thank you. Goodbye."
CLL0019,Cedar Credit,Sofia,2026-06-24,CA,13:31,True,True,promise_to_pay,False,False,316,,False,"Agent: Can you make a payment today? Customer: Not today, but I get paid Friday. Agent: Would Friday work for a payment? Customer: Yes, I can pay Friday. Agent: Great, I'll note a promise to pay."
CLL0020,Atlas Bank,Lily,2026-06-21,AZ,08:15,False,False,no_answer,False,True,0,,False,Voicemail: You've reached... beep.
CLL0021,Atlas Bank,Maya,2026-06-21,AZ,18:30,True,False,payment_refused,False,False,317,compliance_risk,True,Agent: If you do not pay today legal action will begin immediately. Customer: I need more time. Agent: That is not an option.
CLL0022,Cedar Credit,Nora,2026-06-25,NV,12:25,True,True,payment_plan,False,False,153,,False,"Agent: Payment reminder for your account. Customer: I've been trying to call in about splitting this up. Agent: Are you able to pay in full today? Customer: No, I need installments. Agent: I'll look at plan options."
CLL0023,Summit Collections,Lily,2026-06-21,CA,09:21,True,True,payment_objection,False,False,106,payment_objection,False,"Agent: Are you able to pay today? Customer: I need more time, money's tight. Agent: Understood. Have a good day."
CLL0024,Riverstone Health,Zoe,2026-06-21,CA,09:57,True,True,promise_to_pay,False,False,81,,False,"Agent: Can you make a payment today? Customer: Not today, but I get paid Friday. Agent: Would Friday work for a payment? Customer: Yes, I can pay Friday. Agent: Great, I'll note a promise to pay."
CLL0025,Pioneer Servicing,Lily,2026-06-21,NV,16:08,True,True,payment_collected,True,False,387,,False,"Agent: Calling about your past-due balance. Customer: I know, sorry about that. Agent: Can we take care of it today? Customer: Yeah I can cover it right now. Agent: Thank you, I'll start the payment."
CLL0026,Riverstone Health,Grace,2026-06-20,FL,09:42,True,False,payment_objection,False,False,253,payment_objection,False,"Agent: Are you able to pay today? Customer: I need more time, money's tight. Agent: Understood. Have a good day."
CLL0027,Northstar Lending,Ava,2026-06-20,NY,14:46,True,False,payment_objection,False,False,72,payment_objection,False,"Agent: Can you make a payment today? Customer: I lost my job, I can't pay right now. Agent: Okay. Thank you for your time. Goodbye."
CLL0028,Pioneer Servicing,Maya,2026-06-23,FL,10:17,True,True,promise_to_pay,False,False,274,,False,Agent: I'm reaching out about your balance. Customer: I'm a little short this week. Agent: When would you be able to pay? Customer: Next Tuesday for sure. Agent: I'll schedule that follow-up.
CLL0029,Cedar Credit,Maya,2026-06-20,WA,18:34,True,False,payment_objection,False,False,326,payment_objection,False,"Agent: Can you make a payment today? Customer: I lost my job, I can't pay right now. Agent: Okay. Thank you for your time. Goodbye."
CLL0030,Atlas Bank,Maya,2026-06-23,WA,15:13,True,False,transferred_to_human,False,False,130,,False,"Agent: Hi, this is Lily. Customer: I've called three times — let me speak to an agent. Agent: One moment while I transfer you."
CLL0031,BrightPath Finance,Hannah,2026-06-26,NY,20:29,True,True,payment_collected,True,False,244,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0032,BrightPath Finance,Zoe,2026-06-21,NV,08:37,True,True,already_paid,False,False,142,,False,"Agent: Hi, calling about an outstanding balance. Customer: My husband paid it Monday online. Agent: Thanks for confirming. Customer: We already paid. Agent: Okay, I'll verify payment status."
CLL0033,Riverstone Health,Hannah,2026-06-24,CA,16:10,True,True,payment_refused,False,False,344,compliance_risk,True,Agent: This is your final reminder. Customer: I don't have the money. Agent: You have no choice but to pay now or legal action will follow.
CLL0034,Riverstone Health,Maya,2026-06-24,WA,09:43,False,False,no_answer,False,True,0,,False,No answer.
CLL0035,Cedar Credit,Ava,2026-06-24,NV,09:26,True,False,payment_collected,True,False,171,,False,"Agent: Hi, this is Hannah calling about your account. Customer: Yeah, go ahead. Agent: Can you make a payment today? Customer: Yes, I can pay today. Agent: Great, I can help process that payment."
CLL0036,Riverstone Health,Grace,2026-06-21,TX,12:25,True,False,payment_plan,False,False,149,,False,"Agent: This is Sofia. Customer: Hi, I wanted to discuss splitting this up. Agent: Can you pay today? Customer: Only if we can spread it out monthly. Agent: I'll review eligibility with you."
CLL0037,Summit Collections,Nora,2026-06-23,CA,17:36,True,False,payment_objection,False,False,82,payment_objection,False,"Agent: Can you make a payment today? Customer: I lost my job, I can't pay right now. Agent: Okay. Thank you for your time. Goodbye."
CLL0038,Atlas Bank,Zoe,2026-06-21,TX,13:18,True,True,payment_collected,True,False,223,,False,"Agent: Hi, this is Hannah calling about your account. Customer: Yeah, go ahead. Agent: Can you make a payment today? Customer: Yes, I can pay today. Agent: Great, I can help process that payment."
CLL0039,BrightPath Finance,Zoe,2026-06-25,NV,16:19,True,True,payment_refused,False,False,379,compliance_risk,True,Agent: You need to pay today. Customer: I can't right now. Agent: You have no choice but to pay now.
CLL0040,Atlas Bank,Sofia,2026-06-22,TX,12:38,True,False,promise_to_pay,False,False,328,,False,Agent: I'm reaching out about your balance. Customer: I'm a little short this week. Agent: When would you be able to pay? Customer: Next Tuesday for sure. Agent: I'll schedule that follow-up.
CLL0041,Summit Collections,Lily,2026-06-22,NV,08:05,True,True,payment_collected,True,False,180,,False,"Agent: Calling about your past-due balance. Customer: I know, sorry about that. Agent: Can we take care of it today? Customer: Yeah I can cover it right now. Agent: Thank you, I'll start the payment."
CLL0042,BrightPath Finance,Nora,2026-06-21,AZ,19:28,True,True,payment_collected,True,False,111,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0043,Summit Collections,Ava,2026-06-24,NY,08:53,True,True,payment_plan,False,False,398,,False,"Agent: Payment reminder for your account. Customer: I've been trying to call in about splitting this up. Agent: Are you able to pay in full today? Customer: No, I need installments. Agent: I'll look at plan options."
CLL0044,Riverstone Health,Zoe,2026-06-26,NY,08:57,True,True,payment_collected,True,False,202,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0045,Cedar Credit,Emma,2026-06-24,TX,19:09,True,True,already_paid,False,False,331,,False,Agent: Quick call about your account. Customer: I submitted payment Friday night. Agent: Thank you. Customer: I already paid — I shouldn't owe anything. Agent: Let me check records.
CLL0046,Pioneer Servicing,Sofia,2026-06-21,NY,19:59,True,False,transferred_to_human,False,False,256,,False,Agent: Can you make a payment today? Customer: I want to speak with a person. Agent: I can transfer you to a representative.
CLL0047,Pioneer Servicing,Ava,2026-06-22,NV,10:50,False,False,no_answer,False,True,0,,False,Ringing... no answer.
CLL0048,Atlas Bank,Ava,2026-06-21,FL,11:52,False,False,no_answer,False,True,0,,False,No answer after 4 rings.
CLL0049,Northstar Lending,Nora,2026-06-21,TX,08:42,False,False,no_answer,False,True,0,,False,Ringing... no answer.
CLL0050,BrightPath Finance,Lily,2026-06-25,NV,16:25,True,True,promise_to_pay,False,False,187,,False,"Agent: Hi, this is Nora. Customer: Hi. Agent: Are you able to pay today? Customer: I can do partial on the 15th and the rest at month end. Agent: I'll note that follow-up date."
